Project,Location,Grid,Waypoint,Site,Frame,Time,Period,Ptime,OpCode,Reader,Family,Genus,Species,Species_sp,Full_name,Common_name,Code,MaxN,Has_fed,Frame_in,Frame_out,Start,End,Duration,Movie,Lat,Lon
NERP 2012,Oceanic Shoals,2,WP55,55,123281,82.1873,3H,78.774,WP55,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018039,3,No,3908,313826,2.61,209.22,206.61,209.22,-11.895666,127.094166
NERP 2012,Oceanic Shoals,2,WP55,55,211675,141.1167,3H,137.7033,WP55,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,1,No,3908,313826,2.61,209.22,206.61,209.22,-11.895666,127.094166
NERP 2012,Oceanic Shoals,2,WP55,55,245164,163.4427,3H,160.0293,WP55,Phil,Scombridae,Scomberomorus,commerson/semifasciatus,,Scomberomorus commerson/semifasciatus,Narrow/broad-barred Spanish mackerel,37441007,15,No,3908,313826,2.61,209.22,206.61,209.22,-11.895666,127.094166
NERP 2012,Oceanic Shoals,2,WP56,56,192282,128.188,3H,127.2407,WP56,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,2,No,513,303552,0.34,202.37,202.03,202.37,-11.896983,127.1011
NERP 2012,Oceanic Shoals,2,WP56,56,254775,169.85,3H,168.9027,WP56,Phil,Carcharhinidae,Carcharhinus,falciformis,,Carcharhinus falciformis,Silky shark,37018008,1,No,513,303552,0.34,202.37,202.03,202.37,-11.896983,127.1011
NERP 2012,Oceanic Shoals,2,WP56,56,229021,152.6807,3H,151.7333,WP56,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,1,No,513,303552,0.34,202.37,202.03,202.37,-11.896983,127.1011
NERP 2012,Oceanic Shoals,2,WP56,56,50674,33.7827,3H,32.8353,WP56,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,1,No,513,303552,0.34,202.37,202.03,202.37,-11.896983,127.1011
NERP 2012,Oceanic Shoals,2,WP56,56,302554,201.7027,3H+,NA,WP56,Phil,Scombridae,Scomberomorus,commerson/semifasciatus,,Scomberomorus commerson/semifasciatus,Narrow/broad-barred Spanish mackerel,37441007,14,No,513,303552,0.34,202.37,202.03,202.37,-11.896983,127.1011
NERP 2012,Oceanic Shoals,2,WP56,56,75966,50.644,3H,49.6967,WP56,Phil,Sphyraenidae,Sphyraena,barracuda,,Sphyraena barracuda,Great barracuda,37382008,1,No,513,303552,0.34,202.37,202.03,202.37,-11.896983,127.1011
NERP 2012,Oceanic Shoals,2,WP57,57,30699,20.466,3H,19.1707,WP57,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,1,No,708,291357,0.47,194.24,193.77,194.23,-11.891633,127.099333
NERP 2012,Oceanic Shoals,2,WP57,57,212380,141.5867,3H,140.2913,WP57,Phil,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,708,291357,0.47,194.24,193.77,194.23,-11.891633,127.099333
NERP 2012,Oceanic Shoals,2,WP57,57,62599,41.7327,3H,40.4373,WP57,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018039,2,No,708,291357,0.47,194.24,193.77,194.23,-11.891633,127.099333
NERP 2012,Oceanic Shoals,2,WP57,57,179102,119.4013,3H,118.106,WP57,Phil,Echeneidae,Echeneis,naucrates,,Echeneis naucrates,Sharksucker,37336001,1,No,708,291357,0.47,194.24,193.77,194.23,-11.891633,127.099333
NERP 2012,Oceanic Shoals,2,WP57,57,38067,25.378,3H,24.0827,WP57,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,1,No,708,291357,0.47,194.24,193.77,194.23,-11.891633,127.099333
NERP 2012,Oceanic Shoals,2,WP57,57,6175,4.1167,3H,2.8213,WP57,Phil,Sphyrnidae,Sphyrna,lewini,,Sphyrna lewini,Scalloped hammerhead,37019001,1,No,708,291357,0.47,194.24,193.77,194.23,-11.891633,127.099333
NERP 2012,Oceanic Shoals,2,WP58,58,240719,160.4793,3H,159.004,WP58,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,6,No,1226,299052,0.82,199.37,198.55,199.37,-11.883149,127.099866
NERP 2012,Oceanic Shoals,2,WP58,58,218427,145.618,3H,144.1427,WP58,Phil,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,3,No,1226,299052,0.82,199.37,198.55,199.37,-11.883149,127.099866
NERP 2012,Oceanic Shoals,2,WP58,58,56828,37.8853,3H,36.41,WP58,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018039,1,No,1226,299052,0.82,199.37,198.55,199.37,-11.883149,127.099866
NERP 2012,Oceanic Shoals,2,WP58,58,150273,100.182,3H,98.7067,WP58,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,1,No,1226,299052,0.82,199.37,198.55,199.37,-11.883149,127.099866
NERP 2012,Oceanic Shoals,2,WP59,59,200456,133.6373,3H,132.104,WP59,Phil,Carangidae,,sp1,sp,Carangidae sp,Jacks and trevallies,,1,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
NERP 2012,Oceanic Shoals,2,WP59,59,271590,181.06,3H,179.5267,WP59,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,42,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
NERP 2012,Oceanic Shoals,2,WP59,59,92916,61.944,3H,60.4107,WP59,Phil,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
NERP 2012,Oceanic Shoals,2,WP59,59,199213,132.8087,3H,131.2753,WP59,Phil,Carcharhinidae,Carcharhinus,falciformis,,Carcharhinus falciformis,Silky shark,37018008,1,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
NERP 2012,Oceanic Shoals,2,WP59,59,18038,12.0253,3H,10.492,WP59,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018039,1,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
NERP 2012,Oceanic Shoals,2,WP59,59,197978,131.9853,3H,130.452,WP59,Phil,Delphinidae,Orcinus,orca,,Orcinus orca,Killer whale,1015,1,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
NERP 2012,Oceanic Shoals,2,WP59,59,18046,12.0307,3H,10.4973,WP59,Phil,Echeneidae,Echeneis,naucrates,,Echeneis naucrates,Sharksucker,37336001,1,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
NERP 2012,Oceanic Shoals,2,WP59,59,264685,176.4567,3H,174.9233,WP59,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,2,No,680,304422,0.45,202.95,202.49,202.95,-11.8812,127.10665
